question,answer,question_vi,answer_vi
How much reinforcement troop capacity does a city receive at Alliance Center Lvl 20?,575000.0,Một thành phố nhận được bao nhiêu quân tăng cường tại Trung tâm Liên minh Lvl 20?,575000.0
How much stone will a Lvl 17 Quarry produce every hour (excluding boosts)?,2775.0,Mỏ đá cấp 17 sẽ sản xuất bao nhiêu đá mỗi giờ (không bao gồm đá tăng)?,2775.0
How much total daily contribution is required to place in the daily alliance contribution rankings?,10000.0,Tổng số tiền đóng góp hàng ngày cần thiết để xếp hạng trong bảng xếp hạng đóng góp hàng ngày của liên minh?,"10000,0"
How much will an Enhanced Attack (Advanced) item increase your attack?,10%,Vật phẩm Tấn công nâng cao (Nâng cao) sẽ tăng sức tấn công của bạn đến mức nào?,10%
How much will an Enhanced Gathering item increase your gathering speed?,50%,Vật phẩm Thu thập Nâng cao sẽ tăng tốc độ thu thập của bạn lên bao nhiêu?,50%
How often does the World Cup take place?,Every 4 years,World Cup diễn ra thường xuyên như thế nào?,Cứ sau 4 năm
How often is the FIFA World Cup held?,Every 4 years,FIFA World Cup được tổ chức bao lâu một lần?,Cứ sau 4 năm
How was the Gutenberg Bible put into mass production?,Movable type printing press,Kinh thánh Gutenberg được đưa vào sản xuất hàng loạt như thế nào?,Máy in loại di động
"If a man with type AB blood and a woman with type B blood have a baby, which of the following statements would be incorrect?",It could have type O blood,"Nếu một người đàn ông có nhóm máu AB và một người phụ nữ có nhóm máu B sinh con, phát biểu nào sau đây là sai?",Nó có thể có nhóm máu O
Iguazu Falls lies on the border of which two countries?,Brazil and Argentina,Thác Iguazu nằm ở biên giới của hai quốc gia nào?,Brazil và Argentina
"In “Republic"", what does Plato identify as the “highest form""?",Form of the Good,"Trong “Cộng hòa”, Plato xác định điều gì là “hình thức cao nhất”?",Hình thức tốt
"In 1582, Oda Nobunaga was betrayed and ambushed by his general Akechi Mitsuhide. Where did this occur?",Honnō-ji Temple in Kyoto,"Năm 1582, Oda Nobunaga bị tướng Akechi Mitsuhide phản bội và phục kích.Điều này đã xảy ra ở đâu?",Đền Honnō-ji ở Kyoto
"In 1970, an Apollo mission attempted to land on the moon. Due to a technical issue, it only managed to orbit around the moon and return to Earth. What was the name of the mission?",Apollo 13,"Năm 1970, một sứ mệnh Apollo đã cố gắng hạ cánh trên mặt trăng.Do sự cố kỹ thuật, nó chỉ quay quanh mặt trăng và quay trở lại Trái đất.Tên của nhiệm vụ là gì?",Apollo 13
"In 1970, which goalkeeper made the “save of the century"" against Pelé?",Gordon Banks,"Năm 1970, thủ môn nào thực hiện “cứu thua thế kỷ” trước Pelé?",Ngân hàng Gordon
"In 2002, FIFA published a fan-selected World Cup Dream Team. Who was the goalkeeper?",Lev Yashin,"Năm 2002, FIFA công bố Đội hình trong mơ World Cup do người hâm mộ lựa chọn.Thủ môn là ai?",Lev Yashin
"In 2010, at age 71, Otto Rehhagel became the oldest person to manage a World Cup team. Which team did he manage?",Greece,"Năm 2010, ở tuổi 71, Otto Rehhagel trở thành người lớn tuổi nhất dẫn dắt một đội tuyển dự World Cup.Anh ấy đã quản lý đội nào?",Hy Lạp
"In 2018, which country set the record for being the least-populated country to ever reach the World Cup?",Iceland,"Năm 2018, quốc gia nào lập kỷ lục là quốc gia ít dân số nhất từng lọt vào World Cup?",Iceland
"In 2026, the US, Mexico, and Canada will co-host the World Cup. How many teams will be participating?",48.0,"Năm 2026, Mỹ, Mexico và Canada sẽ đồng đăng cai World Cup.Có bao nhiêu đội sẽ tham gia?","48,0"
"In Ancient Egypt, which of the following was NOT a privilege of being a ‘Scribe’?",Exempt from paying medical expenses if sick,"Ở Ai Cập cổ đại, điều nào sau đây KHÔNG phải là đặc quyền để trở thành 'Người ghi chép'?",Miễn thanh toán chi phí y tế nếu bị bệnh
"In ancient Greece, the Delian League was led by which city-state?",Athens,"Ở Hy Lạp cổ đại, Liên minh Delian được lãnh đạo bởi thành bang nào?",Athens
"In Ancient Greece, which philosopher liked to discuss ideas on a street which then got the nickname “Peripatetic School""?",Aristotle,"Ở Hy Lạp cổ đại, triết gia nào thích thảo luận về các ý tưởng trên một con phố mà lúc đó có biệt danh là “Trường học Peripatetic”?",Aristote
"In ancient Greece, who was the high priestess of the Temple of Apollo at Delphi?",The Pythia,"Ở Hy Lạp cổ đại, nữ tư tế cao cấp của Đền thờ Apollo ở Delphi là ai?",Pythia
"In ancient Greek mythology, who was Hermes’ father?",Zeus,"Trong thần thoại Hy Lạp cổ đại, cha của Hermes là ai?",thần Zeus
"In ancient Greek mythology, who was the wife of Hades, the king of the underworld?",Persephone,"Trong thần thoại Hy Lạp cổ đại, vợ của Hades, vua địa ngục là ai?",Persephone
"In Ark of Osiris, how many teleports does the first alliance to occupy an obelisk earn?",8.0,"Trong Ark of Osiris, liên minh đầu tiên chiếm giữ một đài tưởng niệm kiếm được bao nhiêu lần dịch chuyển?","8,0"
"In Ark of Osiris, what effect does the Desert Storm skill have on enemy troops?",Deals skill damage,"Trong Ark of Osiris, kỹ năng Bão táp sa mạc có tác dụng gì với quân địch?",Gây sát thương kỹ năng
"In Ark of Osiris, what is the requirement for an alliance to participate in the Golden Battlefield?",Ranked top 20 for alliance power in their kingdom,"Trong Ark of Osiris, yêu cầu để một liên minh tham gia Chiến trường Vàng là gì?",Xếp hạng top 20 về sức mạnh liên minh trong vương quốc của họ
"In Ark of Osiris, where are you supposed to take the Ark?",A non-enemy building,"Trong Ark of Osiris, bạn phải lấy Ark ở đâu?",Một tòa nhà không phải của kẻ thù
"In Ark of Osiris, which Speedup can you use?",Healing Speedup,"Trong Ark of Osiris, bạn có thể sử dụng Speedup nào?",Tăng tốc chữa bệnh
"In China’s Han Dynasty, who opened the Silk Road on the orders of Emperor Wu?",Zhang Qian,"Vào thời nhà Hán của Trung Quốc, ai đã mở Con đường tơ lụa theo lệnh của Hoàng đế Wu?",Trương Khiên
"In Chinese mythology, what kind of creature is Jingwei?",A bird,"Trong thần thoại Trung Quốc, Jingwei là loại sinh vật gì?",Một con chim
"In DC comics, what is Batman’s real name?",Bruce Wayne,"Trong truyện tranh DC, tên thật của Batman là gì?",Bruce Wayne
"In French novelist Stendhal’s The Red and the Black, what is the name of the ambitious protagonist?",Julien,"Trong tiểu thuyết gia người Pháp Stendhal's The Red and the Black, tên của nhân vật chính đầy tham vọng là gì?",Julien
"In Golden Kingdom, how many passes do you need to clear to get a Golden Chest?",4 Passes,"Ở Golden Kingdom, bạn cần hoàn thành bao nhiêu lượt để nhận được Rương Vàng?",4 đường chuyền
"In Greek mythology, to whom did Paris, the Prince of Troy, give a golden apple inscribed with, “To the most beautiful goddess""?",Aphrodite,"Trong thần thoại Hy Lạp, Paris, Hoàng tử thành Troy, đã tặng ai một quả táo vàng có khắc dòng chữ “Dành cho nữ thần xinh đẹp nhất”?",Aphrodite
"In Greek mythology, what is the Goddess Eos known as?",Goddess of the Dawn,"Trong thần thoại Hy Lạp, Nữ thần Eos được gọi là gì?",Nữ thần bình minh
"In Greek mythology, what is the relationship between Zeus and Hermes?",Father and son,"Trong thần thoại Hy Lạp, mối quan hệ giữa Zeus và Hermes là gì?",Cha và con trai
"In Greek mythology, what was Achilles’ only weak point?",His heels,"Trong thần thoại Hy Lạp, điểm yếu duy nhất của Achilles là gì?",gót chân của anh ấy
"In Greek mythology, what was the name of Hades’ 3-headed dog which guarded the gates of the Underworld?",Cerberus,"Trong thần thoại Hy Lạp, con chó 3 đầu canh giữ cổng Địa ngục của Hades tên là gì?",Cerberus
"In Greek mythology, which hero quested for the Golden Fleece?",Jason,"Trong thần thoại Hy Lạp, vị anh hùng nào đi tìm Bộ lông cừu vàng?",Jason
"In Greek mythology, which hero rode the flying horse Pegasus?",Bellerophon,"Trong thần thoại Hy Lạp, vị anh hùng nào cưỡi ngựa bay Pegasus?",Bellerophon
"In Greek mythology, who is the hero known for stealing fire from the gods and giving it to humankind?",Prometheus,"Trong thần thoại Hy Lạp, ai là người anh hùng nổi tiếng với việc đánh cắp lửa từ các vị thần và đưa nó cho loài người?",Prometheus
"In Greek mythology, who ran the chariot of the sun off its path, setting the earth aflame?",Phaethon,"Trong thần thoại Hy Lạp, ai đã điều khiển cỗ xe của mặt trời đi chệch hướng và khiến trái đất bốc cháy?",phaethon
"In her in-game dialogue, who does Cleopatra VII mention was assassinated by his own senators?",Julius Caesar,"Trong cuộc đối thoại trong trò chơi của mình, Cleopatra VII đề cập đến ai đã bị chính các thượng nghị sĩ của mình ám sát?",Julius Caesar
"In his in-game dialogue, who does Lohar say is the “cruelest man"" he’s ever met?",High Chieftain Gavar,"Trong đoạn hội thoại trong trò chơi, Lohar nói ai là “người đàn ông tàn ác nhất” mà anh từng gặp?",Thủ lĩnh tối cao Gavar
"In Homer’s epic “The Iliad"", which of theh following goddesses was NOT part of the competition for the Golden Apple?",Artemis,"Trong sử thi “The Iliad” của Homer, nữ thần nào sau đây KHÔNG tham gia cuộc tranh giành Quả táo vàng?",Artemis
"In Japan, “torii"" gates are usually placed at the entrance of what buildings?",Shrines,"Ở Nhật Bản, cổng “torii” thường được đặt ở lối vào của những tòa nhà nào?",Đền thờ
"In Japan, which fruit is known as the “fruit of immortality""?",Tachibana,Ở Nhật Bản loại trái cây nào được mệnh danh là “trái cây trường sinh”?,Tachibana
"In Maya mythology, how many levels are there in the heavens and the underworld combined?",22.0,"Trong thần thoại Maya, thiên đường và địa ngục cộng lại có bao nhiêu cấp độ?",22.0
"In Morse code, what is the length in dots between two words?",7 dots,"Trong mã Morse, độ dài dấu chấm giữa hai từ là bao nhiêu?",7 chấm
"In most cases, which kind of lion has a mane?",Adult male,"Trong hầu hết các trường hợp, loại sư tử nào có bờm?",Nam trưởng thành
"In mythology, who was hit by the lead arrow of Eros?",Daphne,"Trong thần thoại, ai bị mũi tên chì của Eros bắn trúng?",Daphne
"In Norse mythology, the ravens Huginn and Muninn were the companions of which god?",Odin,"Trong thần thoại Bắc Âu, quạ Huginn và Muninn là bạn đồng hành của vị thần nào?",Odin
"In Norse mythology, what variety of trees was the World Tree?",Ash,"Trong thần thoại Bắc Âu, Cây Thế giới là loại cây gì?",tro
"In Norse mythology, who does the hammer Mjolnir belong to?",Thor,"Trong thần thoại Bắc Âu, chiếc búa Mjolnir thuộc về ai?",Thor
"In Norse mythology, who wielded the weapon Gungnir?",Odin,"Trong thần thoại Bắc Âu, ai sử dụng vũ khí Gungnir?",Odin
"In RoK, how many soldiers stand in front of the gates of your city?",2.0,"Ở Hàn Quốc, có bao nhiêu người lính đứng trước cổng thành của bạn?",2.0
"In RoK, the Cataphract is which civilization’s special unit?",Byzantium,"Ở Hàn Quốc, Cataphract là đơn vị đặc biệt của nền văn minh nào?",Byzantium
